Indice,nome,ref,design,Data,Quant,Eur,numero_de_cliente
555,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.JOV00052,100 MOSCAS - 1LT+SAQUETA,2023,12,92.64,4233
556,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.JOV00053,100 MOSCAS - 4x20gr,2023,6,35.52,4233
557,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.JOV00054,100 MOSCAS - 240gr,2023,6,52.32,4233
558,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.JOV00055,100 MOSCAS - ARM 10lt,2023,18,236.16,4233
559,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.JOV00056,ZUPRA CZ-1LT,2023,0,0,4233
560,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.JOV00057,ZUPRA CZ-5LT,2023,28,2214.24,4233
561,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.JOV00058,ZUPRA CZ-20LT,2023,50,15816.29,4233
562,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.JOV00072,CITROMAZINC - 1LT,2023,0,0,4233
563,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.JOV00080,BIOAGENASOL - 20KG,2023,15,0,4233
564,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.JOV00083,KOSMET - 1LT,2023,60,831.6,4233
565,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.JOV00084,KOSMET - 5LT,2023,19,1147.75,4233
566,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.JOV00116,ONI-ON - 1LT,2023,0,0,4233
567,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.JOV00117,ONI-ON - 5LT,2023,0,0,4233
568,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.JOV00124,DIFENOFIN - 5LT,2023,0,0,4233
569,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.KEY012,FLUROKEY - 100ML,2023,24,101.23,4233
570,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.PHER018,SAVALIM - 20LT,2023,3,539.14,4233
571,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.QM0010,DIPTRON - 100ML,2023,24,232.32,4233
572,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.QM0014,MASTERFLY  VESPAS- 1LT,2023,36,249.12,4233
573,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.QM0029,MURIBROM BRODIFACOUM BLOCO-10KG,2023,0,0,4233
574,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.QM0034,MURIBROM PASTA BRODIF. - 1.5 KG 50PPM,2023,40,272,4233
575,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.QM0035,DIPTRON RTU - 500ML,2023,40,209.6,4233
576,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.ROT0006,MARISOL - 5LT,2023,-160,-7360,4233
577,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.SEIP008,ASTRAL - 5LT,2023,0,0,4233
578,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.SEIP027,BRYOSEI - 20LT,2023,2,258.98,4233
579,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.SEIP031,AMICOS-SYSTEM - 5LT,2023,4,410.4,4233
580,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.SEIP041,FUNGISEI - 5LT,2023,48,5178.48,4233
581,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.SEIP042,MULTISEI - 1000lt,2023,2,2755.1,4233
582,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.UNIV0015,"ARPON ""G"" - 100ML",2023,24,1434,4233
583,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.ZA00110,STIMUFOL K ROJO-5KG,2023,0,0,4233
584,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.ZA00506,SEQUESTRENE - 10 KG,2023,8,1045.6,4233
585,"NOBRE E AZEVEDO UNIPESSOAL, LDA",J.ZA00576,AMISTAR TOP - 5LT,2023,0,0,4233
586,"NOBRE E AZEVEDO UNIPESSOAL, LDA",PAL.EUR.,EURO PALETE,2023,0,0,4233
587,"NOBRE E AZEVEDO UNIPESSOAL, LDA",PAL.PQ,PALETE PEQUENA,2023,0,0,4233
588,"NOVAVET - PRODUTOS AGRO-PECUARIOS, LDA",J.UNIV0075,FIPON MONO GATOS,2023,2000,3520,5122
589,"NOVAVET - PRODUTOS AGRO-PECUARIOS, LDA",J.UNIV0076,FIPON MONO CÃO S,2023,1010,1979.6,5122
590,"NOVAVET - PRODUTOS AGRO-PECUARIOS, LDA",J.UNIV0077,FIPON MONO CÃO M,2023,300,663,5122
591,"NOVAVET - PRODUTOS AGRO-PECUARIOS, LDA",J.UNIV0078,FIPON MONO CÃO L,2023,310,821.5,5122
592,"NOVAVET - PRODUTOS AGRO-PECUARIOS, LDA",J.UNIV0079,FIPON MONO CÃO XL,2023,319,893.2,5122
593,PATRICK CARVALHO RODRIGUES,J.DAY0022,NATURFRUIT - 1LTº.,2023,0,0,6A
594,PATRICK CARVALHO RODRIGUES,J.JOV00048,ZUM VOADORES - 600ML,2023,0,0,6A
595,PATRICK CARVALHO RODRIGUES,J.PEL010,VERTOX FORTE PASTA - 1KG,2023,0,0,6A
596,PATRICK CARVALHO RODRIGUES,J.QM0013,MASTERFLY - 1LT,2023,0,0,6A
597,PATRICK CARVALHO RODRIGUES,J.QM0035,DIPTRON RTU - 500ML,2023,0,0,6A
598,PATRICK CARVALHO RODRIGUES,TRANSP.MERC.,Transporte de Mercadorias,2023,0,0,6A
599,"PEREIRAS & ALMEIDA, LDA.",J.BIAG001,NETAPSILA - 5LT,2023,0,0,2801
600,"PEREIRAS & ALMEIDA, LDA.",J.BIAG006,FOLI-STOP 1KG,2023,12,4259,2801
601,"PEREIRAS & ALMEIDA, LDA.",J.BIAG012,HYDRACUP - 5LT,2023,0,-95.67,2801
602,"PEREIRAS & ALMEIDA, LDA.",J.DAY0003,KELPAK- 5 LTº.,2023,0,0,2801
603,"PEREIRAS & ALMEIDA, LDA.",J.DAY0004,KELPAK - 20LTº.,2023,11,2711.52,2801
604,"PEREIRAS & ALMEIDA, LDA.",J.DAY0007,RETENOL-5LTº.,2023,12,847.59,2801
605,"PEREIRAS & ALMEIDA, LDA.",J.DAY0008,NATURAMIN WSP-1KG,2023,40,758.88,2801
606,"PEREIRAS & ALMEIDA, LDA.",J.DAY0009,NATURAMIN WSP-5KG,2023,8,685.44,2801
607,"PEREIRAS & ALMEIDA, LDA.",J.DAY0010,MADUREL-5LTº.,2023,8,408.96,2801
608,"PEREIRAS & ALMEIDA, LDA.",J.DAY0011,NATURFRUIT-5LTº.,2023,0,0,2801
609,"PEREIRAS & ALMEIDA, LDA.",J.DAY0013,NATURCOMPLET-G-25KG,2023,200,4346,2801
610,"PEREIRAS & ALMEIDA, LDA.",J.DAY0023,RETENOL - 20LTº.,2023,11,3039.69,2801
611,"PEREIRAS & ALMEIDA, LDA.",J.DAY0061,NATURVITAL PLUS - 20LTº.,2023,11,507.24,2801
612,"PEREIRAS & ALMEIDA, LDA.",J.DAY0062,NATURVITAL PLUS - 1000LTº.,2023,1,1989.8,2801
613,"PEREIRAS & ALMEIDA, LDA.",J.DAY0116,VALTAR-5LTº.,2023,4,446.11,2801
614,"PEREIRAS & ALMEIDA, LDA.",J.DAY0144,CYTOPLANT - 5LT,2023,8,1154.3,2801
615,"PEREIRAS & ALMEIDA, LDA.",J.DAY0163,ENERPLUS-1KG,2023,0,0,2801
616,"PEREIRAS & ALMEIDA, LDA.",J.DAY0166,EFICAL WSP - 5KG,2023,100,3705.2,2801
617,"PEREIRAS & ALMEIDA, LDA.",J.DAY0168,COP STAR - 20LTº,2023,10,949.32,2801
618,"PEREIRAS & ALMEIDA, LDA.",J.DAY0175,NUPTAK-1KG,2023,1,0,2801
619,"PEREIRAS & ALMEIDA, LDA.",J.JOV00019,RATRAP KIT,2023,0,0,2801
620,"PEREIRAS & ALMEIDA, LDA.",J.JOV00043,SILIS - 5LT,2023,4,161.67,2801
621,"PEREIRAS & ALMEIDA, LDA.",J.JOV00057,ZUPRA CZ-5LT,2023,8,1066.46,2801
622,"PEREIRAS & ALMEIDA, LDA.",J.JOV00058,ZUPRA CZ-20LT,2023,0,0,2801
623,"PEREIRAS & ALMEIDA, LDA.",J.JOV00072,CITROMAZINC - 1LT,2023,0,0,2801
624,"PEREIRAS & ALMEIDA, LDA.",J.JOV00073,CITROMAZINC - 5LT,2023,0,0,2801
625,"PEREIRAS & ALMEIDA, LDA.",J.JOV00084,KOSMET - 5LT,2023,12,724.9,2801
626,"PEREIRAS & ALMEIDA, LDA.",J.JOV00093,CLIN PLUS - 5LT,2023,0,0,2801
627,"PEREIRAS & ALMEIDA, LDA.",J.JOV00099,KUGEL EQUISETUM - 1LT,2023,0,0,2801
628,"PEREIRAS & ALMEIDA, LDA.",J.JOV00114,KUGEL EQUISETUM - 10LT,2023,0,0,2801
629,"PEREIRAS & ALMEIDA, LDA.",J.JOV00116,ONI-ON - 1LT,2023,0,0,2801
630,"PEREIRAS & ALMEIDA, LDA.",J.JOV00117,ONI-ON - 5LT,2023,0,0,2801
631,"PEREIRAS & ALMEIDA, LDA.",J.JOV00136,RIBATOP 5 - 500GR,2023,0,0,2801
632,"PEREIRAS & ALMEIDA, LDA.",J.QM0029,MURIBROM BRODIFACOUM BLOCO-10KG,2023,86,4400.64,2801
633,"PEREIRAS & ALMEIDA, LDA.",J.SEIP010,NAPHOS - 5LT,2023,0,0,2801
634,"PEREIRAS & ALMEIDA, LDA.",J.SEIP026,BRYOSEI - 5LT,2023,4,187.49,2801
635,"PEREIRAS & ALMEIDA, LDA.",J.SEIP033,FUNGISEI - 1LT,2023,12,355.97,2801
636,"PEREIRAS & ALMEIDA, LDA.",J.SEIP041,FUNGISEI - 5LT,2023,4,558.29,2801
637,"PEREIRAS & ALMEIDA, LDA.",PAL.PQ,PALETE PEQUENA,2023,0,0,2801
638,"PETALA SUGESTIVA - UNIPESSOAL, LDA",J.DAY0003,KELPAK- 5 LTº.,2023,0,0,21A
639,"PETALA SUGESTIVA - UNIPESSOAL, LDA",J.DAY0004,KELPAK - 20LTº.,2023,0,0,21A
640,"PETALA SUGESTIVA - UNIPESSOAL, LDA",J.ZA00055,RIDOMIL GOLD COMBI PEP-200GR,2023,0,0,21A
641,"POTINHO CERTO, LDA",J.JOV00047,ZUM LACA - 300ML,2023,3,0,5664
642,"POTINHO CERTO, LDA",J.QM0013,MASTERFLY - 1LT,2023,900,4050,5664
643,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.DAY0003,KELPAK- 5 LTº.,2023,1,69.16,5612
644,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.DAY0005,KELPAC -1LTº.,2023,0,0,5612
645,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.DAY0006,RETENOL-1LTº.,2023,36,566.35,5612
646,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.DAY0007,RETENOL-5LTº.,2023,20,1412.65,5612
647,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.DAY0009,NATURAMIN WSP-5KG,2023,4,342.72,5612
648,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.DAY0013,NATURCOMPLET-G-25KG,2023,80,1852,5612
649,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.DAY0023,RETENOL - 20LTº.,2023,6,16581,5612
650,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.DAY0060,"NATURAMIN-WSP - 0,5KG",2023,0,0,5612
651,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.JOV00020,FORMIGEL - 3UN,2023,12,26.16,5612
652,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.JOV00047,ZUM LACA - 300ML,2023,24,92.34,5612
653,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.JOV00052,100 MOSCAS - 1LT+SAQUETA,2023,12,991,5612
654,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.JOV00053,100 MOSCAS - 4x20gr,2023,6,37.96,5612
655,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.JOV00084,KOSMET - 5LT,2023,4,241.63,5612
656,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.JOV00117,ONI-ON - 5LT,2023,0,0,5612
657,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.KEY006,KEYFOL - 300 GR,2023,0,0,5612
658,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.KEY012,FLUROKEY - 100ML,2023,24,107.89,5612
659,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.PEL006,RODEX TRIGO - 150GR,2023,700,352.8,5612
660,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.PEL011,VERTOX PELLET - 150GR (cx90),2023,900,583.2,5612
661,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.QM0014,MASTERFLY  VESPAS- 1LT,2023,12,88.75,5612
662,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.QM0035,DIPTRON RTU - 500ML,2023,8,44.8,5612
663,"PRORURAL-PRODUTOS AGRICOLAS, LDA",J.QM0036,MASTERFLY - 520ML,2023,24,102.6,5612
664,"PRORURAL-PRODUTOS AGRICOLAS, LDA",TRANSP.MERC.,Transporte de Mercadorias,2023,0,0,5612
665,"RAÇÕES E FORRAGENS CASTANHEIRA, UNIPESSOAL, LDA",J.JOV00047,ZUM LACA - 300ML,2023,12,47.76,5A
666,"RAÇÕES E FORRAGENS CASTANHEIRA, UNIPESSOAL, LDA",J.JOV00048,ZUM VOADORES - 600ML,2023,12,35.19,5A
667,"RAÇÕES E FORRAGENS CASTANHEIRA, UNIPESSOAL, LDA",J.JOV00054,100 MOSCAS - 240gr,2023,6,57.68,5A
668,"RAÇÕES E FORRAGENS CASTANHEIRA, UNIPESSOAL, LDA",J.JOV00055,100 MOSCAS - ARM 10lt,2023,6,86.79,5A
669,"RAÇÕES E FORRAGENS CASTANHEIRA, UNIPESSOAL, LDA",J.KEY012,FLUROKEY - 100ML,2023,24,111.61,5A
670,"RAÇÕES E FORRAGENS CASTANHEIRA, UNIPESSOAL, LDA",J.QM0014,MASTERFLY  VESPAS- 1LT,2023,12,91.55,5A
671,"RAÇÕES E FORRAGENS CASTANHEIRA, UNIPESSOAL, LDA",J.QM0036,MASTERFLY - 520ML,2023,12,52.92,5A
672,"SANTIAGO & Cª,  LDA",J.PEL004,VERTOX PELLET - 150GR,2023,0,0,2668
673,"SANTIAGO & Cª,  LDA",J.PEL006,RODEX TRIGO - 150GR,2023,1050,504,2668
674,"SANTIAGO & Cª,  LDA",J.QM0025,MURIBROM PASTA BRODIF. - 150 GR,2023,1000,650,2668
675,"SANTIAGO & Cª,  LDA",J.QM0036,MASTERFLY - 520ML,2023,180,648,2668
676,"SOCIEDADE AGRIC.E TURISTICA QTª.DO INFERNINHO,LDA",J.BARC001,GLYFOFLASH XL - 1LT,2023,0,0,4A
677,"SOCIEDADE AGRIC.E TURISTICA QTª.DO INFERNINHO,LDA",J.BARC002,GLYFOFLASH XL - 5LT,2023,0,0,4A
678,"SOCIEDADE AGRIC.E TURISTICA QTª.DO INFERNINHO,LDA",J.BARC003,GLYFOFLASH XL - 20LT,2023,0,0,4A
679,"SOCIEDADE AGRIC.E TURISTICA QTª.DO INFERNINHO,LDA",J.PEL006,RODEX TRIGO - 150GR,2023,0,0,4A
680,"SOCIEDADE AGRIC.E TURISTICA QTª.DO INFERNINHO,LDA",J.PEL007,ROBAN PASTA - 150GR,2023,0,0,4A
681,"SOCIEDADE AGRIC.E TURISTICA QTª.DO INFERNINHO,LDA",J.PEL011,VERTOX PELLET - 150GR (cx90),2023,0,0,4A
682,"SOCIEDADE AGRIC.E TURISTICA QTª.DO INFERNINHO,LDA",PAL.PQ,PALETE PEQUENA,2023,0,0,4A
683,SÓNIA DA CONCEIÇÃO DA CRUZ MARTINS,J.SEIP017,GLUCOSEI - 1LT,2023,4,64.41,24A 
684,SÓNIA DA CONCEIÇÃO DA CRUZ MARTINS,J.SEIP030,AMICOS-SYSTEM - 1LT,2023,4,117.99,24A 
685,SÓNIA DA CONCEIÇÃO DA CRUZ MARTINS,TRANSP.MERC.,Transporte de Mercadorias,2023,1,11.62,24A 
686,"TABLANDI-COMERCIO DE MATERIAIS DE CONSTRUÇÃO, LDA",J.DAY0006,RETENOL-1LTº.,2023,12,212.38,3A
687,"TABLANDI-COMERCIO DE MATERIAIS DE CONSTRUÇÃO, LDA",J.DAY0060,"NATURAMIN-WSP - 0,5KG",2023,30,354.78,3A
688,"TABLANDI-COMERCIO DE MATERIAIS DE CONSTRUÇÃO, LDA",J.DAY0090,NATURMIX MG - 1LTº.,2023,12,95.26,3A
689,"TABLANDI-COMERCIO DE MATERIAIS DE CONSTRUÇÃO, LDA",J.JOV00042,SILIS - 1LT,2023,0,0,3A
690,"TABLANDI-COMERCIO DE MATERIAIS DE CONSTRUÇÃO, LDA",J.QM0010,DIPTRON - 100ML,2023,0,0,3A
691,"TABLANDI-COMERCIO DE MATERIAIS DE CONSTRUÇÃO, LDA",J.UNIV0015,"ARPON ""G"" - 100ML",2023,0,0,3A
692,"UFCB - UNIÃO DOS FRUTICULTORES DA COVA DA BEIRA, LDA",J.DAY0001,SYNCRON-5LTº.,2023,0,0,2A
693,"UFCB - UNIÃO DOS FRUTICULTORES DA COVA DA BEIRA, LDA",J.DAY0002,NITROACTIVE - 20LTº.,2023,0,0,2A
694,"UFCB - UNIÃO DOS FRUTICULTORES DA COVA DA BEIRA, LDA",PAL.EUR.,EURO PALETE,2023,0,0,2A
697,"VALAGRO-COMÉRCIO DE PROD. P/AGRICULTURA,LDA",J.BARC002,GLYFOFLASH XL - 5LT,2023,0,0,4324
698,"VALAGRO-COMÉRCIO DE PROD. P/AGRICULTURA,LDA",J.DAY0005,KELPAC -1LTº.,2023,0,0,4324
699,"VALAGRO-COMÉRCIO DE PROD. P/AGRICULTURA,LDA",J.JOV00019,RATRAP KIT,2023,0,0,4324
700,"VALAGRO-COMÉRCIO DE PROD. P/AGRICULTURA,LDA",J.JOV00037,HARPUN - 100ML,2023,0,0,4324
701,"VALAGRO-COMÉRCIO DE PROD. P/AGRICULTURA,LDA",J.JOV00131,COMPLESAL CALCIO - 1LT,2023,0,0,4324
702,"VALAGRO-COMÉRCIO DE PROD. P/AGRICULTURA,LDA",J.PEL006,RODEX TRIGO - 150GR,2023,0,0,4324
703,"VALAGRO-COMÉRCIO DE PROD. P/AGRICULTURA,LDA",J.PEL007,ROBAN PASTA - 150GR,2023,0,0,4324
704,"VALAGRO-COMÉRCIO DE PROD. P/AGRICULTURA,LDA",J.PEL010,VERTOX FORTE PASTA - 1KG,2023,0,0,4324
705,"VALAGRO-COMÉRCIO DE PROD. P/AGRICULTURA,LDA",J.PEL011,VERTOX PELLET - 150GR (cx90),2023,0,0,4324
706,"VALAGRO-COMÉRCIO DE PROD. P/AGRICULTURA,LDA",J.QM0035,DIPTRON RTU - 500ML,2023,0,0,4324
707,"VALAGRO-COMÉRCIO DE PROD. P/AGRICULTURA,LDA",J.ZA00077,TOPAZE - 70 ML,2023,0,0,4324
708,"VALAGRO-COMÉRCIO DE PROD. P/AGRICULTURA,LDA",J.ZA00588,CUPRANTOL DUO - 500GR,2023,0,0,4324
709,"VALAGRO-COMÉRCIO DE PROD. P/AGRICULTURA,LDA",J.ZA00604,KARATE TRAP - 62GR,2023,0,0,4324
710,"VALAGRO-COMÉRCIO DE PROD. P/AGRICULTURA,LDA",PAL.PQ,PALETE PEQUENA,2023,0,0,4324
711,"VAROSA CAMPO,COMERCIO PROD.P/AGRICULTURA,UNIP.,LDA",J.QM0010,DIPTRON - 100ML,2023,0,0,6102
712,"VAROSA CAMPO,COMERCIO PROD.P/AGRICULTURA,UNIP.,LDA",J.QM0034,MURIBROM PASTA BRODIF. - 1.5 KG 50PPM,2023,0,0,6102
713,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.DAY0005,KELPAC -1LTº.,2023,20,336.87,4040
714,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.JOV00028,CUC 75 FLOW - 1 LT,2023,12,162.69,4040
715,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.JOV00037,HARPUN - 100ML,2023,0,0,4040
716,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.JOV00052,100 MOSCAS - 1LT+SAQUETA,2023,0,0,4040
717,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.JOV00053,100 MOSCAS - 4x20gr,2023,0,0,4040
718,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.JOV00054,100 MOSCAS - 240gr,2023,0,0,4040
719,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.JOV00055,100 MOSCAS - ARM 10lt,2023,0,0,4040
720,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.JOV00072,CITROMAZINC - 1LT,2023,0,0,4040
721,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.JOV00083,KOSMET - 1LT,2023,108,1683.99,4040
722,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.JOV00116,ONI-ON - 1LT,2023,0,0,4040
723,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.JOV00120,VASAL - 1LT,2023,0,0,4040
724,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.KEY001,INSECTOIL - 1 LT,2023,12,58.65,4040
725,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.KEY012,FLUROKEY - 100ML,2023,24,113.89,4040
726,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.PEL004,VERTOX PELLET - 150GR,2023,70,53.87,4040
727,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.PEL006,RODEX TRIGO - 150GR,2023,0,0,4040
728,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.PEL007,ROBAN PASTA - 150GR,2023,70,56.86,4040
729,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.PEL010,VERTOX FORTE PASTA - 1KG,2023,0,0,4040
730,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.PHER016,SAVALIM - 1LT,2023,0,0,4040
731,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.QM0010,DIPTRON - 100ML,2023,0,0,4040
732,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.QM0025,MURIBROM PASTA BRODIF. - 150 GR,2023,100,80.75,4040
733,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.QM0034,MURIBROM PASTA BRODIF. - 1.5 KG 50PPM,2023,8,61.2,4040
734,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.QM0035,DIPTRON RTU - 500ML,2023,8,47.16,4040
735,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.QM0036,MASTERFLY - 520ML,2023,12,54,4040
736,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.SEIP025,BRYOSEI - 1LT,2023,72,830.85,4040
737,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.ZA00088,QUADRIS MAX -150 ML,2023,20,113.85,4040
738,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.ZA00556,DYNALI - 100 ML,2023,20,93.15,4040
739,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.ZA00588,CUPRANTOL DUO - 500GR,2023,0,0,4040
740,"VICTOR & LOURENÇO- CASA AGRICOLA , LDA",J.ZA00615,RIDOMIL 25 - 200GR,2023,50,479.86,4040
741,"A. GAUDENCIO FERREIRA & FILHOS, LDA",J.BARC002,GLYFOFLASH XL - 5LT,2024,160,2817.6,4778
742,"A. GAUDENCIO FERREIRA & FILHOS, LDA",J.PEL006,RODEX TRIGO - 150GR,2024,840,378,4778
743,"A. GAUDENCIO FERREIRA & FILHOS, LDA",J.PEL007,ROBAN PASTA - 150GR,2024,2100,1218,4778
744,"A. GAUDENCIO FERREIRA & FILHOS, LDA",J.PEL010,VERTOX FORTE PASTA - 1KG,2024,180,637.2,4778
745,"A. GAUDENCIO FERREIRA & FILHOS, LDA",J.PEL011,VERTOX PELLET - 150GR (cx90),2024,900,468,4778
746,"A. GAUDENCIO FERREIRA & FILHOS, LDA",PAL.EUR.,EURO PALETE,2024,1,0,4778
747,"AGRIMUR - UNIPESSOAL, LDA",J.DAY0006,RETENOL-1LTº.,2024,0,0,5076
748,"AGRIMUR - UNIPESSOAL, LDA",J.JOV00028,CUC 75 FLOW - 1 LT,2024,0,0,5076
749,"AGRIMUR - UNIPESSOAL, LDA",J.KEY012,FLUROKEY - 100ML,2024,0,0,5076
750,"AGRIMUR - UNIPESSOAL, LDA",J.SP0009,BORDOGREEN CONCENTRADO-100ML,2024,0,0,5076
751,AGRIPEC-GONÇALVES E MEIRELES,J.BIAG006,FOLI-STOP 1KG,2024,12,493.29,4325
752,AGRIPEC-GONÇALVES E MEIRELES,J.BIAG011,HYDRACUP - 1LT,2024,0,0,4325
753,AGRIPEC-GONÇALVES E MEIRELES,J.DAY0060,"NATURAMIN-WSP - 0,5KG",2024,0,0,4325
754,AGRIPEC-GONÇALVES E MEIRELES,J.DAY0162,PROMOSTAR-5LTº.,2024,0,0,4325
755,AGRIPEC-GONÇALVES E MEIRELES,J.JOV00020,FORMIGEL - 3UN,2024,0,0,4325
756,AGRIPEC-GONÇALVES E MEIRELES,J.JOV00030,FERREX JARDIM - 300GR,2024,0,0,4325
757,AGRIPEC-GONÇALVES E MEIRELES,J.JOV00083,KOSMET - 1LT,2024,12,192.94,4325
758,AGRIPEC-GONÇALVES E MEIRELES,J.MV000002,TABERDOG CÃO COLEIRA ANTIP.-60CM,2024,0,0,4325
759,AGRIPEC-GONÇALVES E MEIRELES,J.MV000232,TABERDOG COLEIRA CÃO PEQ ANTIP.-40CM,2024,0,0,4325
760,AGRIPEC-GONÇALVES E MEIRELES,J.QM0010,DIPTRON - 100ML,2024,0,0,4325
761,AGRIPEC-GONÇALVES E MEIRELES,J.QM0014,MASTERFLY  VESPAS- 1LT,2024,12,96.66,4325
762,AGRIPEC-GONÇALVES E MEIRELES,J.QM0025,MURIBROM PASTA BRODIF. - 150 GR,2024,50,42.75,4325
763,AGRIPEC-GONÇALVES E MEIRELES,J.QM0029,MURIBROM BRODIFACOUM BLOCO-10KG,2024,1,70.92,4325
764,AGRIPEC-GONÇALVES E MEIRELES,J.QM0035,DIPTRON RTU - 500ML,2024,8,48.6,4325
765,AGRIPEC-GONÇALVES E MEIRELES,J.SEIP009,NAPHOS - 1LT,2024,0,0,4325
766,AGRIPEC-GONÇALVES E MEIRELES,J.UNIV0015,"ARPON ""G"" - 100ML",2024,24,172.37,4325
767,AGRIPEC-GONÇALVES E MEIRELES,J.UNIV0018,"ARPON ""G"" - 1LTº.",2024,2,81.4,4325
768,"AGRIREBOREDO, LDA",J.BARC002,GLYFOFLASH XL - 5LT,2024,160,2817.6,20A
769,"AGRIREBOREDO, LDA",J.BARC003,GLYFOFLASH XL - 20LT,2024,80,5272.8,20A
770,"AGRIREBOREDO, LDA",J.JOV00142,KENPYR - 5LT,2024,16,27794,20A
771,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.BARC003,GLYFOFLASH XL - 20LT,2024,0,0,19A
772,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.JOV00019,RATRAP KIT,2024,0,0,19A
773,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.JOV00052,100 MOSCAS - 1LT+SAQUETA,2024,0,0,19A
